gene	Kinetic_class	cluster
ORF1	unknown	cluster_1
ORF2	unknown	cluster_2
ORF3	L	cluster_2
ORF4	unknown	cluster_1
ORF5	E	cluster_3
ORF6	L	cluster_4
ORF7	E	cluster_3
ORF8	L	cluster_2
ORF9	L	cluster_1
ORF10	L	cluster_3
ORF11	L	cluster_2
ORF12	L	cluster_5
ORF13	L	cluster_5
ORF14	L	cluster_2
ORF15	unknown	cluster_5
ORF16	L	cluster_5
ORF17	L	cluster_3
ORF18	L	cluster_2
ORF19	L	cluster_1
ORF20	E	cluster_1
ORF21	E	cluster_1
ORF22	L	cluster_2
ORF23	L	cluster_2
ORF24	L	cluster_2
ORF25	L	cluster_2
ORF26	L	cluster_2
ORF27	L	cluster_5
ORF28	L	cluster_2
ORF29	L	cluster_2
ORF30	E	cluster_3
ORF31	E	cluster_1
ORF32	E	cluster_5
ORF33	L	cluster_2
ORF34	unknown	cluster_1
ORF35.5	L	cluster_2
ORF35	L	cluster_5
ORF36	L	cluster_2
ORF37	L	cluster_1
ORF38	L	cluster_1
ORF39	L	cluster_2
CTO	unknown	cluster_2
ORF40	L	cluster_2
ORF41	L	cluster_5
ORF42	L	cluster_2
ORF43	L	cluster_2
ORF44	L	cluster_2
ORF46	L	cluster_2
ORF48	L	cluster_5
ORF49	L	cluster_1
ORF50	L	cluster_1
ORF51	E	cluster_1
ORF52	L	cluster_5
ORF53	E	cluster_3
ORF54	E	cluster_5
ORF57	L	cluster_5
ORF58	L	cluster_2
ORF59	L	cluster_5
ORF60	L	cluster_5
ORF61	E	cluster_1
ORF62	L	cluster_2
ORF63	E	cluster_3
ORF64_1	IE	cluster_1
NOIR_1	unknown	cluster_5
ORF65_1	E	cluster_4
ORF66_1	unknown	cluster_2
ORF67_1	L	cluster_4
ORF68	L	cluster_2
ORF69	E	cluster_6
ORF70	L	cluster_6
ORF71	unknown	cluster_5
ORF72	L	cluster_5
ORF73	L	cluster_2
ORF74	L	cluster_2
ORF75	unknown	cluster_2
ORF76	L	cluster_2
NOIR_2	unknown	cluster_3
